post,longitude,latitude
30895,-92.1829,15.045
30895,-92.1532,15.0468
30895,-92.1804,15.0403
30895,-92.1419,15.0642
30895,-92.1408,15.0256
30895,-92.1641,15.0862
30880,-92.0807,15.0628
30880,-92.0935,15.0871
30880,-92.0918,15.0653
30880,-92.1261,15.0615
30880,-92.1233,15.0536
30893,-92.1851,15.0933
30893,-92.1986,15.0752
30893,-92.2081,15.0353
30893,-92.1911,15.055
30893,-92.1975,15.0867
30893,-92.2165,15.0466
30806,-82.5104,33.528
30806,-92.2901,15.1785
30806,-92.2784,15.1093
30806,-92.2914,15.1414
30806,-92.287,15.1102
30806,-92.2753,15.1315
30806,-92.2752,15.1326
30806,-92.2917,15.1508
30806,-92.2744,15.0947
30806,-92.3,15.1253
30806,-92.2884,15.1486
30806,-92.2786,15.1309
30806,-92.2861,15.1581
30806,-92.2426,15.0905
30806,-92.2906,15.1391
30806,-92.2722,15.1186
30806,-92.2815,15.1307
30640,-92.456,15.152
30640,-92.5064,15.1667
30640,-92.4959,15.1367
30640,-92.5639,15.0792
30640,-92.5688,15.0566
30640,-92.5469,15.097
30640,-92.4775,15.1494
30640,-92.4671,15.1474
30640,-92.5,15.15
30640,-92.4397,15.1722
30640,-92.4972,15.1944
30640,-92.4865,15.137
30640,-92.5556,15.0908
30640,-92.485,15.1378
30640,-92.4835,15.1391
30640,-92.4825,15.1407
30640,-92.4692,15.1376
30680,-83.7115,33.9985
30680,-92.425,15.1522
30680,-92.4058,15.1634
30680,-92.3848,15.2161
30680,-92.4036,15.1594
30680,-92.4523,15.1449
30680,-92.4224,15.1471
30680,-92.4258,15.2054
30680,-92.4116,15.1404
30644,-92.4847,15.1703
30644,-92.4844,15.0856
30644,-92.5203,15.1797
30644,-92.5231,15.0975
30644,-92.4975,15.1883
30644,-92.4716,15.2187
30644,-92.4627,15.1639
30644,-92.4597,15.1847
30644,-92.5156,15.1989
30644,-92.4686,15.2028
30644,-92.4439,15.1828
30585,-92.7824,15.2093
30585,-92.6715,15.1987
30585,-92.7685,15.2061
30585,-92.7951,15.2458
30585,-92.7225,15.1514
30585,-92.7228,15.2936
30585,-92.6861,15.2569
30585,-92.7101,15.1742
30585,-92.7514,15.1728
30585,-92.7994,15.105
30585,-92.774,15.2313
30585,-92.6903,15.1839
30585,-92.7197,15.1542
30585,-92.7746,15.2181
30585,-92.7836,15.2975
30585,-92.7919,15.0969
30585,-92.7615,15.2376
30585,-92.8394,15.1509
30585,-92.6848,15.2008
30585,-92.7775,15.2097
30585,-92.837,15.1725
30585,-92.6992,15.1727
30585,-92.7509,15.1956
30560,-84.2115,34.8714
30560,-92.8928,15.4656
30560,-93.007,15.4049
30560,-92.8974,15.449
30560,-92.8915,15.4611
30560,-92.8944,15.2819
30560,-93.022,15.427
30560,-92.8936,15.4669
30560,-92.9304,15.4296
30560,-92.9125,15.425
30560,-93.022,15.441
30560,-92.8898,15.4515
30560,-92.9051,15.4338
30560,-92.8966,15.4447
30560,-92.9711,15.4521
30560,-92.8911,15.4416
30567,-83.6634,34.1796
30567,-93.0094,15.4656
30567,-92.9815,15.4607
30567,-92.9382,15.4972
30567,-92.9969,15.4192
30574,-92.8808,15.5492
30574,-92.93,15.5442
30574,-92.9431,15.5161
30574,-92.9458,15.5839
30574,-92.9444,15.5214
30574,-92.9133,15.5688
30574,-92.9527,15.5259
30150,-85.1818,33.643
30150,-91.9869,15.6436
30150,-92.0039,15.6659
30140,-85.2349,33.8823
30140,-92.1299,15.7069
30140,-91.9367,15.7825
30140,-92.1424,15.6592
30140,-92.175,15.7606
30140,-92.2013,15.7563
30140,-92.1224,15.7204
30140,-92.1625,15.8597
30140,-92.1398,15.6507
30140,-92.0083,15.7881
30140,-92.1794,15.7592
30140,-92.1641,15.699
30140,-92.1478,15.6513
30140,-92.0878,15.7627
30140,-92.1492,15.6633
30140,-92.1401,15.6669
30140,-92.1402,15.6547
30140,-92.1489,15.6444
30140,-91.9572,15.83
30140,-92.1391,15.658
